"","genes","R2losePvalue","R2gainPvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"69","ENSG00000005100",0.149282869248297,0.850717130751703,0.235096796030245,0.643024218650839,0.737348217901373
"70","ENSG00000005108",0.0740581803676013,0.925941819632399,0.333131863814664,0.141770070897124,0.331572489740165
"71","ENSG00000005156",0.0952306120845447,0.904769387915455,0.552955255634599,0.299254764250443,0.713443859511275
"72","ENSG00000005175",0.564868148273507,0.435131851726493,0.968703724969931,0.415911659645454,0.190358474714568
"73","ENSG00000005189",0.793787888861355,0.206212111138645,0.601489262682003,0.229572501828336,0.484886764057032
"74","ENSG00000005194",0.126962061274939,0.873037938725061,0.305238408954917,0.944182869852706,0.509709823452261
"75","ENSG00000005206",0.552550301902074,0.447449698097926,0.978779215598576,0.717735160258929,0.388096777897988
"76","ENSG00000005238",0.732228877431989,0.267771122568011,0.692247251452092,0.156958857909593,0.858381031241878
"77","ENSG00000005243",0.427860816797723,0.572139183202277,0.43409831309572,0.739415295162918,0.397592036312866
"78","ENSG00000005249",0.148865827344652,0.851134172655348,0.170878386954446,0.186163879335876,0.756713468035853
"79","ENSG00000005302",0.0380112540873129,0.961988745912687,0.476304162561725,0.0764335059927108,0.821693431892222
"80","ENSG00000005339",0.0507763627901917,0.949223637209808,0.0262373754162863,0.499422789829013,0.848450598666675
"81","ENSG00000005379",0.222537186236408,0.777462813763592,0.280234026992886,0.288834760744873,0.989743186804552
"82","ENSG00000005436",0.234661621869919,0.765338378130081,0.499749170449257,0.366954566608845,0.341037527727242
"83","ENSG00000005448",0.1479048177406,0.8520951822594,0.0593166556865778,0.79259720400602,0.491686360312117
"84","ENSG00000005469",0.843198288314969,0.156801711685031,0.39305897214281,0.213319955757294,0.856730995883978
"85","ENSG00000005483",0.0690053248393784,0.930994675160622,0.233235217677741,0.769623634792174,0.742721409964279
"86","ENSG00000005486",0.151428519622124,0.848571480377876,0.246919027385752,0.90915739403207,0.338619893503212
"87","ENSG00000005513",0.227892246042635,0.772107753957365,0.330913684414117,0.610845507128999,0.522650210636382
"88","ENSG00000005801",0.00293138149663647,0.997068618503363,0.332376353119655,0.383738992209174,0.673788614151622
"89","ENSG00000005810",0.348411312110534,0.651588687889466,0.669666547799651,0.318039782171156,0.919142223377314
"90","ENSG00000005812",0.226036711775692,0.773963288224308,0.579682201981251,0.147868553227239,0.365092988256342
"91","ENSG00000005882",0.326543810554182,0.673456189445818,0.603846456050432,0.622480371832144,0.746214891418003
"92","ENSG00000005884",0.866002623133133,0.133997376866867,0.416757831623864,0.526083251234505,0.382179618134674
"93","ENSG00000005889",0.451722866588899,0.548277133411101,0.887138790336716,0.0225323509679604,0.308091217339273
"94","ENSG00000005893",0.638563683507504,0.361436316492496,0.592991278384537,0.752966134988607,0.325171803132045
"95","ENSG00000005981",0.44690573039752,0.553094269602481,0.328127360970922,0.61493735305317,0.233011586512019
"96","ENSG00000006007",0.421133749569359,0.578866250430641,0.773177557101498,0.970764758145916,0.921360402777862
"97","ENSG00000006015",0.0109518830348562,0.989048116965144,0.0522329874101698,0.462850028104998,0.888921795576938
"98","ENSG00000006016",0.104000580232214,0.895999419767786,0.00308248363563834,0.496860097551541,0.00614683501459645
"99","ENSG00000006025",0.0326561942810862,0.967343805718914,0.066478897075267,0.788305903258367,0.955455089422246
"100","ENSG00000006042",0.180766510930729,0.819233489069271,0.307402191585424,0.484632912463509,0.296003046219122
"101","ENSG00000006062",0.190291989773407,0.809708010226593,0.29981686420753,0.509909278275743,0.76930329825749
"102","ENSG00000006071",0.0206768167010172,0.979323183298983,0.0206163758454164,0.677227698835305,0.304368060634266
"103","ENSG00000006116",0.455198215785943,0.544801784214057,0.691110963366797,0.834005234178095,0.118621223202036
"104","ENSG00000006118",0.216106279200488,0.783893720799512,0.157128092305275,0.611873001674212,0.933400221213532
"105","ENSG00000006125",0.150648832584874,0.849351167415126,0.622335313778702,0.871242845313718,0.468138602970064
"106","ENSG00000006128",0.507546040821754,0.492453959178246,0.99682685508096,0.762467437489045,0.040598122707025
"107","ENSG00000006194",0.219865700418855,0.780134299581145,0.674302361424228,0.732772845132396,0.716659313029235
"108","ENSG00000006210",0.239508978489099,0.760491021510901,0.719518165499151,0.339030891321297,0.88346398631619
"109","ENSG00000006282",0.157097871877474,0.842902128122526,0.150564215387033,0.87215550223329,0.724963886588779
"110","ENSG00000006283",0.156916549310672,0.843083450689328,0.0472828813364682,0.43327631745955,0.0886002502251422
"111","ENSG00000006377",0.419846359345063,0.580153640654937,0.861076693401672,0.747858882690343,0.390405618581937
"112","ENSG00000006432",0.596980374854186,0.403019625145814,0.839765247716847,0.991647073755976,0.404657572332594
"113","ENSG00000006451",0.30790385068691,0.69209614931309,0.81749883651353,0.609648778188104,0.837837184423183
"114","ENSG00000006459",0.23556219061837,0.76443780938163,0.689249385014294,0.346011810143184,0.599875491837462
"115","ENSG00000006468",0.666850003928656,0.333149996071344,0.891901529758055,0.113066708572327,0.140283225849345
"116","ENSG00000006530",0.50399211851243,0.49600788148757,0.919323545944116,0.00936833261811654,0.198953164380995
"117","ENSG00000006555",0.421091440970438,0.578908559029562,0.763748783627781,0.591196184973194,0.287033623247971
"118","ENSG00000006576",0.00441218245885489,0.995587817541145,0.302518570452883,0.615686819662619,0.66235320427196
"119","ENSG00000006607",0.772845132395694,0.227154867604306,0.8713818592816,0.316154027476413,0.952862176716974
"120","ENSG00000006611",0.999437900042913,0.000562099957087003,0.0132123710343244,0.316160071561973,0.0506615251645502
"121","ENSG00000006625",0.366211144084956,0.633788855915044,0.590259351711383,0.552912947035678,0.205631878924878
"122","ENSG00000006634",0.916706456896604,0.0832935431033962,0.310629733274504,0.34642885204683,0.835915165215079
"123","ENSG00000006652",0.290817220808578,0.709182779191422,0.734930583677343,0.0173283933007355,0.716737886141516
"124","ENSG00000006695",0.985784310762703,0.0142156892372969,0.253464772047313,0.964497041420118,0.541537978011617
"125","ENSG00000006704",0.540818731829968,0.459181268170032,0.733685502051967,0.621519362228092,0.999045034481508
"126","ENSG00000006712",0.153634610851551,0.846365389148449,0.339792446101867,0.717578014034367,0.109597403460843
"127","ENSG00000006715",0.198475681621749,0.801524318378251,0.73312944618044,0.578473384869236,0.928268792573028
"128","ENSG00000006740",0.616188478764105,0.383811521235895,0.747979764401545,0.190678811249252,0.711594369329892
"129","ENSG00000006744",0.0624656242633771,0.937534375736623,0.283582450393168,0.821602770608821,0.824648989731099
"130","ENSG00000006747",0.417676532628996,0.582323467371004,0.275356449945905,0.288659482263631,0.0563610978477012
"131","ENSG00000006756",0.315591927519326,0.684408072480674,0.660721301170739,0.661791104314873,0.513052202766982
"132","ENSG00000006757",0.392110050709878,0.607889949290122,0.476394823845126,0.12621259466549,0.367818870843936
"133","ENSG00000006837",0.420759016264634,0.579240983735366,0.711751515554454,0.335682467921016,0.281636254842824
"134","ENSG00000007001",0.85127318662323,0.14872681337677,0.0965542668222011,0.575844207650604,0.916132268768397
"135","ENSG00000007047",0.0832572785900357,0.916742721409964,0.125849949531886,0.846619240741972,0.814772953925936
"136","ENSG00000007062",0.360281896150522,0.639718103849478,0.689847749484742,0.494122126792827,0.0497972209294595
"137","ENSG00000007080",0.189542523163958,0.810457476836042,0.963324488821464,0.00857051332418657,0.674121038857426
"138","ENSG00000007168",0.183945699935328,0.816054300064672,0.410187910620063,0.844002151694459,0.611014741524681
"139","ENSG00000007174",0.615003837994331,0.384996162005669,0.762763597681489,0.929622667738484,0.0451311868770814
"140","ENSG00000007202",0.330557083366072,0.669442916633928,0.730596974330769,0.745356631268472,0.856549673317175
"141","ENSG00000007237",0.78133102852204,0.21866897147796,0.587321926129186,0.748668790155393,0.563882962327215
"142","ENSG00000007255",0.100531275120731,0.899468724879269,0.165740914228382,0.997352690524687,0.55626741452152
